Passenger Email,Travel Insurance?,Purchase Date,Travel Date,Fare Type,Ticket Price,Route,Row_ID,Person
myedwab@vizpainter.com,FALSE,9/21/2022,11/25/2022,Business,172,DAL-ATL,552,Muhammed Yedwab
myedwab@vizpainter.com,FALSE,11/17/2022,11/25/2022,Economy,140,DAL-HOU,552,Muhammed Yedwab
ncarroll@vizpainter.com,FALSE,11/17/2022,11/26/2022,Economy,134,DAL-MDW,555,Nat Carroll
ncarroll@vizpainter.com,FALSE,10/28/2022,11/26/2022,Economy,122,DAL-AUS,555,Nat Carroll
ncarroll@vizpainter.com,FALSE,11/9/2022,11/26/2022,Economy,89,DAL-LGA,555,Nat Carroll
ncarroll@vizpainter.com,FALSE,10/21/2022,11/26/2022,Economy,91,DAL-ELP,555,Nat Carroll
ncarroll@vizpainter.com,FALSE,11/11/2022,11/26/2022,Economy,72,DAL-LGA,555,Nat Carroll
ncarroll@vizpainter.com,FALSE,11/6/2022,11/26/2022,Economy,85,DAL-ATL,555,Nat Carroll
nfritzler@vizpainter.com,TRUE,8/15/2022,11/24/2022,Economy,111,DAL-SEA,558,Natalie Fritzler
nfritzler@vizpainter.com,FALSE,11/9/2022,11/24/2022,Economy,158,DAL-ELP,558,Natalie Fritzler
nfritzler@vizpainter.com,FALSE,10/29/2022,11/24/2022,First Class,277,DAL-ELP,558,Natalie Fritzler
nfritzler@vizpainter.com,FALSE,10/24/2022,11/24/2022,Economy,147,DAL-LGA,558,Natalie Fritzler
nwebber@vizpainter.com,FALSE,2/4/2022,3/13/2022,Economy,140,DAL-LGA,559,Natalie Webber
nwebber@vizpainter.com,FALSE,2/12/2022,3/13/2022,Economy,93,DAL-HOU,559,Natalie Webber
nmautz@vizpainter.com,FALSE,8/16/2022,10/21/2022,Economy,91,DAL-HOU,562,Nathan Mautz
nmautz@vizpainter.com,TRUE,9/20/2022,10/21/2022,Economy,134,DAL-AUS,562,Nathan Mautz
nmautz@vizpainter.com,FALSE,9/27/2022,10/21/2022,Business,158,DAL-AUS,562,Nathan Mautz
nmautz@vizpainter.com,FALSE,9/6/2022,10/21/2022,Economy,97,DAL-AUS,562,Nathan Mautz
nducich@vizpainter.com,FALSE,2/9/2022,3/22/2022,Economy,76,DAL-PHX,563,Neil Ducich
nfranzösisch@vizpainter.com,FALSE,3/24/2022,4/18/2022,Economy,104,DAL-LAS,564,Neil Französisch
nknudson@vizpainter.com,FALSE,1/4/2022,2/13/2022,Economy,69,DAL-PHX,565,Neil Knudson
nschneider@vizpainter.com,FALSE,10/1/2022,11/11/2022,First Class,271,DAL-HOU,566,Neola Schneider
nschneider@vizpainter.com,FALSE,7/25/2022,11/11/2022,First Class,276,DAL-MDW,566,Neola Schneider
nzandusky@vizpainter.com,FALSE,8/19/2022,11/6/2022,First Class,238,DAL-SEA,570,Nick Zandusky
nzandusky@vizpainter.com,FALSE,8/21/2022,11/6/2022,Economy,146,DAL-LGA,570,Nick Zandusky
nzandusky@vizpainter.com,TRUE,8/24/2022,11/6/2022,Economy,157,DAL-LAS,570,Nick Zandusky
nzandusky@vizpainter.com,FALSE,7/1/2022,11/6/2022,Economy,126,DAL-GRR,570,Nick Zandusky
nfjeld@vizpainter.com,TRUE,4/15/2022,4/26/2022,Economy,79,DAL-OKC,572,Nicole Fjeld
nfjeld@vizpainter.com,FALSE,1/4/2022,1/28/2022,First Class,253,DAL-ELP,572,Nicole Fjeld
nchilds@vizpainter.com,FALSE,3/17/2022,5/7/2022,Economy,143,DAL-AUS,574,Noah Childs
nbalk@vizpainter.com,FALSE,8/16/2022,9/5/2022,Economy,75,DAL-PHX,576,Nona Balk
nbalk@vizpainter.com,FALSE,8/27/2022,9/5/2022,Economy,136,DAL-HOU,576,Nona Balk
npaige@vizpainter.com,TRUE,6/30/2022,9/7/2022,First Class,202,DAL-SEA,577,Nora Paige
npaige@vizpainter.com,TRUE,8/21/2022,9/7/2022,Economy,137,DAL-AUS,577,Nora Paige
npaige@vizpainter.com,FALSE,8/4/2022,9/7/2022,Economy,153,DAL-MDW,577,Nora Paige
npaige@vizpainter.com,FALSE,5/28/2022,9/7/2022,Economy,126,DAL-OKC,577,Nora Paige
npaige@vizpainter.com,FALSE,8/10/2022,9/7/2022,Economy,117,DAL-LAS,577,Nora Paige
npaige@vizpainter.com,TRUE,7/10/2022,9/7/2022,Economy,96,DAL-MDW,577,Nora Paige
,FALSE,9/19/2022,10/24/2022,Economy,105,DAL-OKC,580,Odella Nelson
pcoakley@vizpainter.com,TRUE,7/20/2022,9/22/2022,Business,114,DAL-SEA,582,Pamela Coakley
pnorris@vizpainter.com,FALSE,4/29/2022,6/14/2022,Economy,146,DAL-AUS,584,Parhena Norris
pnorris@vizpainter.com,TRUE,4/25/2022,6/14/2022,Economy,152,DAL-TUL,584,Parhena Norris
pbzostek@vizpainter.com,TRUE,10/20/2022,11/14/2022,Business,114,DAL-AUS,586,Patrick Bzostek
pbzostek@vizpainter.com,FALSE,10/25/2022,11/14/2022,Economy,93,DAL-HOU,586,Patrick Bzostek
pbzostek@vizpainter.com,FALSE,9/14/2022,11/14/2022,Economy,125,DAL-SEA,586,Patrick Bzostek
pbzostek@vizpainter.com,FALSE,10/8/2022,11/14/2022,Economy,82,DAL-GRR,586,Patrick Bzostek
pbzostek@vizpainter.com,FALSE,11/1/2022,11/14/2022,First Class,275,DAL-PHX,586,Patrick Bzostek
pbzostek@vizpainter.com,TRUE,10/23/2022,11/14/2022,Business,102,DAL-AUS,586,Patrick Bzostek
pbzostek@vizpainter.com,FALSE,10/6/2022,11/14/2022,Economy,100,DAL-OKC,586,Patrick Bzostek
pbzostek@vizpainter.com,FALSE,8/6/2022,11/14/2022,Economy,153,DAL-AUS,586,Patrick Bzostek
pbzostek@vizpainter.com,FALSE,10/14/2022,11/14/2022,Economy,104,DAL-LGA,586,Patrick Bzostek
po'brill@vizpainter.com,TRUE,10/24/2022,11/12/2022,Business,136,DAL-AUS,589,Patrick O'Brill
po'donnell@vizpainter.com,FALSE,5/14/2022,6/17/2022,Business,157,DAL-ATL,590,Patrick O'Donnell
po'donnell@vizpainter.com,FALSE,5/7/2022,6/17/2022,Economy,104,DAL-LGA,590,Patrick O'Donnell
po'donnell@vizpainter.com,FALSE,5/9/2022,6/17/2022,Economy,120,DAL-OKC,590,Patrick O'Donnell
po'donnell@vizpainter.com,FALSE,4/7/2022,6/17/2022,First Class,281,DAL-ATL,590,Patrick O'Donnell
pgonzalez@vizpainter.com,TRUE,7/3/2022,9/28/2022,Business,89,DAL-ATL,592,Paul Gonzalez
pknutson@vizpainter.com,FALSE,11/27/2022,12/11/2022,Economy,147,DAL-PHX,593,Paul Knutson
tbutterfield@vizpainter.com,FALSE,8/10/2022,8/17/2022,Economy,142,DAL-ELP,736,Ted Butterfield
tbutterfield@vizpainter.com,FALSE,2/17/2022,3/3/2022,Economy,131,DAL-CLE,736,Ted Butterfield
tbutterfield@vizpainter.com,FALSE,7/13/2022,8/17/2022,Economy,118,DAL-HOU,736,Ted Butterfield
tbutterfield@vizpainter.com,FALSE,1/2/2022,3/3/2022,Economy,88,DAL-OKC,736,Ted Butterfield
tpippenger@vizpainter.com,FALSE,8/7/2022,9/11/2022,Economy,86,DAL-HOU,741,Theone Pippenger
tswint@vizpainter.com,FALSE,4/8/2022,5/12/2022,Economy,117,DAL-AUS,743,Theresa Swint
tseio@vizpainter.com,TRUE,3/29/2022,4/27/2022,Economy,66,DAL-MDW,746,Thomas Seio
tthornton@vizpainter.com,FALSE,2/21/2022,3/16/2022,Economy,153,DAL-PHX,747,Thomas Thornton
tthornton@vizpainter.com,TRUE,3/7/2022,3/16/2022,Economy,107,DAL-GRR,747,Thomas Thornton
tbrockman@vizpainter.com,FALSE,10/6/2022,11/29/2022,Economy,116,DAL-GRR,749,Tim Brockman
ttaslimi@vizpainter.com,FALSE,5/10/2022,6/4/2022,Economy,158,DAL-ATL,750,Tim Taslimi
tgnade@vizpainter.com,FALSE,5/7/2022,9/1/2022,Economy,88,DAL-LGA,753,Toby Gnade
tgnade@vizpainter.com,FALSE,8/4/2022,9/1/2022,Economy,133,DAL-ATL,753,Toby Gnade
tgnade@vizpainter.com,FALSE,4/9/2022,5/15/2022,Economy,71,DAL-ATL,753,Toby Gnade
tritter@vizpainter.com,FALSE,7/30/2022,9/10/2022,Economy,77,DAL-HOU,754,Toby Ritter
tritter@vizpainter.com,FALSE,8/25/2022,9/10/2022,Business,114,DAL-HOU,754,Toby Ritter
tswindell@vizpainter.com,TRUE,12/23/2021,3/17/2022,Economy,125,DAL-PHX,755,Toby Swindell
tswindell@vizpainter.com,FALSE,11/15/2021,3/17/2022,Business,85,DAL-HOU,755,Toby Swindell
tturnell@vizpainter.com,TRUE,10/3/2022,11/8/2022,Economy,140,DAL-HOU,762,Tonja Turnell
tturnell@vizpainter.com,FALSE,10/9/2022,11/8/2022,Economy,146,DAL-AUS,762,Tonja Turnell
tturnell@vizpainter.com,FALSE,10/19/2022,11/8/2022,Economy,144,DAL-HOU,762,Tonja Turnell
tturnell@vizpainter.com,FALSE,10/11/2022,11/8/2022,Economy,67,DAL-GRR,762,Tonja Turnell
tturnell@vizpainter.com,FALSE,10/17/2022,11/8/2022,Economy,150,DAL-AUS,762,Tonja Turnell
tturnell@vizpainter.com,TRUE,9/9/2022,11/8/2022,Economy,125,DAL-ELP,762,Tonja Turnell
tturnell@vizpainter.com,FALSE,10/3/2022,11/8/2022,Economy,140,DAL-AUS,762,Tonja Turnell
tchapman@vizpainter.com,FALSE,2/14/2022,4/9/2022,Economy,111,DAL-SFO,763,Tony Chapman
tsayre@vizpainter.com,FALSE,3/11/2022,4/12/2022,Economy,120,DAL-LGA,765,Tony Sayre
tsayre@vizpainter.com,FALSE,1/31/2022,4/12/2022,Business,173,DAL-HOU,765,Tony Sayre
tsayre@vizpainter.com,FALSE,2/10/2022,4/12/2022,Economy,86,DAL-LAS,765,Tony Sayre
tblumstein@vizpainter.com,TRUE,5/29/2022,7/8/2022,Business,155,DAL-PHX,766,Tracy Blumstein
tblumstein@vizpainter.com,FALSE,5/19/2022,7/8/2022,Economy,82,DAL-AUS,766,Tracy Blumstein
pmacintyre@vizpainter.com,TRUE,6/19/2022,7/21/2022,Economy,151,DAL-MDW,595,Paul MacIntyre
pprost@vizpainter.com,FALSE,7/30/2022,9/28/2022,Economy,147,DAL-LAS,596,Paul Prost
pprost@vizpainter.com,FALSE,9/2/2022,9/28/2022,Economy,63,DAL-MDW,596,Paul Prost
pwebber@vizpainter.com,FALSE,8/19/2022,9/2/2022,Business,102,DAL-LGA,601,Pauline Webber
pwebber@vizpainter.com,FALSE,7/17/2022,9/2/2022,Economy,150,DAL-HOU,601,Pauline Webber
pwebber@vizpainter.com,TRUE,8/6/2022,9/2/2022,Economy,93,DAL-AUS,601,Pauline Webber
parmstrong@vizpainter.com,FALSE,2/26/2022,3/25/2022,Economy,91,DAL-LGA,603,Pete Armstrong
pbühler@vizpainter.com,FALSE,12/18/2022,12/27/2022,Economy,147,DAL-ATL,606,Peter Bühler
pmcvee@vizpainter.com,TRUE,11/12/2022,12/7/2022,Economy,75,DAL-OKC,608,Peter McVee
pbrown@vizpainter.com,FALSE,11/12/2022,11/26/2022,Economy,111,DAL-HOU,609,Philip Brown
pfox@vizpainter.com,FALSE,2/16/2022,3/24/2022,Economy,154,DAL-SLC,610,Philip Fox
pbreyer@vizpainter.com,TRUE,10/20/2022,11/20/2022,Economy,70,DAL-AMA,613,Phillip Breyer
pwener@vizpainter.com,TRUE,6/29/2022,7/18/2022,Economy,117,DAL-ELP,615,Pierre Wener
qjones@vizpainter.com,FALSE,2/12/2022,3/8/2022,Economy,126,DAL-SEA,616,Quincy Jones
rpayne@vizpainter.com,FALSE,7/9/2022,8/27/2022,First Class,268,DAL-ELP,617,Rachel Payne
rpayne@vizpainter.com,FALSE,6/20/2022,8/27/2022,Economy,79,DAL-AUS,617,Rachel Payne
rritter@vizpainter.com,FALSE,7/22/2022,9/21/2022,Business,149,DAL-LAS,620,Ralph Ritter
rritter@vizpainter.com,TRUE,5/31/2022,9/21/2022,Business,173,DAL-AUS,620,Ralph Ritter
rritter@vizpainter.com,FALSE,6/25/2022,9/21/2022,Economy,105,DAL-MDW,620,Ralph Ritter
rritter@vizpainter.com,FALSE,6/14/2022,7/21/2022,Economy,147,DAL-CLE,620,Ralph Ritter
rritter@vizpainter.com,FALSE,9/10/2022,9/21/2022,First Class,265,DAL-HOU,620,Ralph Ritter
