Passenger Email,Travel Insurance?,Purchase Date,Travel Date,Fare Type,Ticket Price,Route,Row_ID,Person
bgonzalez@vizpainter.com,TRUE,12/21/2022,1/5/2023,Economy,101,DAL-PHX,69,Barry Gonzalez
scartwright@vizpainter.com,FALSE,11/28/2022,1/2/2023,Economy,93,DAL-LAS,714,Steven Cartwright
mengle@vizpainter.com,FALSE,8/31/2022,1/2/2023,First Class,282,DAL-HOU,514,Max Engle
beplett@vizpainter.com,FALSE,11/23/2022,1/4/2023,Business,70,DAL-SEA,89,Bill Eplett
smatthias@vizpainter.com,FALSE,11/21/2022,1/1/2023,Economy,109,DAL-GRR,666,Sally Matthias
mdominguez@vizpainter.com,FALSE,11/9/2022,1/2/2023,Business,93,DAL-AUS,523,Michael Dominguez
mengle@vizpainter.com,FALSE,12/19/2022,1/2/2023,Economy,148,DAL-HOU,514,Max Engle
mdominguez@vizpainter.com,FALSE,11/25/2022,1/2/2023,Business,174,DAL-AUS,523,Michael Dominguez
beplett@vizpainter.com,FALSE,12/3/2022,1/4/2023,Economy,74,DAL-CLE,89,Bill Eplett
klampkin@vizpainter.com,FALSE,5/20/2023,9/14/2023,Economy,132,DAL-PHX,436,Kelly Lampkin
cmitchell@vizpainter.com,FALSE,12/5/2023,12/29/2023,First Class,269,DAL-OKC,176,Corinna Mitchell
kdana@vizpainter.com,TRUE,12/3/2023,12/14/2023,Economy,107,DAL-PHX,440,Ken Dana
cdarley@vizpainter.com,FALSE,8/16/2023,12/3/2023,Economy,78,DAL-MDW,131,Carol Darley
arussell@vizpainter.com,FALSE,10/4/2023,10/16/2023,Economy,120,DAL-AUS,23,Alex Russell
jkimmel@vizpainter.com,FALSE,11/14/2023,11/23/2023,Economy,97,DAL-SLC,357,Jay Kimmel
knguyen@vizpainter.com,TRUE,9/1/2023,10/1/2023,Economy,83,DAL-OKC,429,Kean Nguyen
agayman@vizpainter.com,FALSE,8/5/2023,8/31/2023,Business,102,DAL-SLC,45,Anna Gayman
kmeade@vizpainter.com,FALSE,9/18/2023,12/12/2023,Business,80,DAL-AUS,414,Kalyca Meade
jkriz@vizpainter.com,FALSE,10/31/2023,11/25/2023,Economy,94,DAL-HOU,375,Jim Kriz
ashonely@vizpainter.com,FALSE,12/30/2022,1/27/2023,Economy,104,DAL-MDW,16,Alan Shonely
nhansen@vizpainter.com,FALSE,8/17/2023,10/26/2023,Economy,100,DAL-OKC,573,Nicole Hansen
pfuller@vizpainter.com,FALSE,8/19/2023,9/12/2023,Economy,98,DAL-OKC,607,Peter Fuller
cschnelling@vizpainter.com,FALSE,6/30/2023,7/26/2023,Business,139,DAL-OKC,165,Cindy Schnelling
mkennedy@vizpainter.com,FALSE,7/29/2023,8/22/2023,Economy,88,DAL-OKC,543,Mike Kennedy
jwest,FALSE,9/7/2023,9/29/2023,Economy,157,DAL-OKC,404,Julia West
dordway,FALSE,12/3/2022,1/25/2023,Economy,126,DAL-HOU,228,Denny Ordway
jgalang@vizpainter.com,FALSE,4/13/2023,6/21/2023,Economy,73,DAL-GRR,343,James Galang
phirasaki@vizpainter.com,TRUE,9/22/2023,10/8/2023,First Class,271,DAL-HOU,585,Patricia Hirasaki
arawles@vizpainter.com,FALSE,8/30/2023,10/5/2023,Business,163,DAL-AMA,55,Anthony Rawles
sfoster@vizpainter.com,FALSE,9/12/2023,10/16/2023,Economy,80,DAL-LAS,679,Sarah Foster
dmiller@vizpainter.com,TRUE,9/9/2023,9/25/2023,Economy,84,DAL-MDW,234,Don Miller
abergman@vizpainter.com,FALSE,6/8/2023,7/4/2023,Economy,140,DAL-GRR,1,Aaron Bergman
dphilippe@vizpainter.com,FALSE,11/11/2023,12/10/2023,Economy,155,DAL-OKC,210,David Philippe
